"Offense","Average Age at Time of Offense"
"Armed Robbery","16"
"Sexual Battery","15"
"Theft / Taking Motor Vehicle","15"
"Robbery","17"
"Burglary-Nonresid","17"
"Shooting into a Dwelling","17"
