"Offense","Black","White","Hispanic","Other","Total"
"Sell/Manufacture/Distribute Drugs","1,024","311","2","3","1,340"
"Possession/Drugs with Intent","370","416","10","0","796"
"Possession of Drugs","961","542","16","2","1,521"
"Total","2,355","1,269","28","5","3,657"
