"Offense","Black","White","Hispanic","Other","Total"
"Aggravated Assault","29","9","0","1","39"
"Burglary","93","37","0","1","131"
"Possession/Drugs with Intent","18","39","2","0","59"
"Possession of Drugs","91","60","0","0","151"
"Sell/Manufacture/Distribute Drugs","109","44","0","0","153"
"Homicide","10","5","0","0","15"
"Manslaughter","12","11","0","0","23"
"Property","210","152","3","3","368"
"Robbery","21","12","0","0","33"
"Sex Offense","40","46","0","0","86"
"Violent","11","16","1","0","28"
"Total","644","431","6","5","1,086"
