"Age","Male","Female","Total","Percent"
"50-55","676","77","753","62.39%"
"56-60","246","32","278","23.03%"
"61-65","96","9","105","8.70%"
"66-70","40","2","42","3.48%"
"71-75","17","1","18","1.49%"
"76-80","10","0","10","0.83%"
"Over 80","1","0","1","0.08%"
"Total","1,086","121","1,207","100.00%"
