"Age","Male","Female","Total","Percent"
"16-17","0","0","0","0.00%"
"18-19","0","0","0","0.00%"
"20-29","1,075","129","1,204","28.87%"
"30-39","1,543","204","1,747","41.88%"
"40-49","676","136","812","19.47%"
"50-59","304","40","344","8.25%"
"60-69","51","3","54","1.29%"
"70-79","7","2","9","0.22%"
"80+","1","0","1","0.02%"
"Total","3,657","514","4,171","100.00%"
