"Offense","Average Sentence Length in Years"
"Armed Robbery","1"
"Sexual Battery","0"
"Theft / Taking Motor Vehicle","3"
"Robbery","0"
"Burglary-Nonresid","0"
"Shooting into a Dwelling","0"
