"Offense","Male","Female","Total","Percent"
"Armed Robbery","1","0","1","12.50%"
"Sexual Battery","1","0","1","12.50%"
"Theft / Taking Motor Vehicle","1","0","1","12.50%"
"Robbery","2","0","2","25.00%"
"Burglary-Nonresid","2","0","2","25.00%"
"Shooting into a Dwelling","1","0","1","12.50%"
"Total","8","0","8","100.00%"
