"Offense","Black","White","Hispanic","Other","Total"
"Exploitation of Child","0","2","0","0","2"
"Kidnap Minor","0","1","0","0","1"
"Statutory Rape","0","0","0","1","1"
"Unlawful Touching of a Child","0","1","0","0","1"
"Total","0","4","0","1","5"
