"Age","Male","Female","Total","Percent"
"16","2","0","2","0.02%"
"17","6","0","6","0.05%"
"18-19","57","2","59","0.53%"
"20-29","3,594","377","3,971","35.72%"
"30-39","3,301","525","3,826","34.42%"
"40-49","1,734","312","2,046","18.41%"
"50-59","889","107","996","8.96%"
"60-69","161","12","173","1.56%"
"70-79","31","2","33","0.30%"
"80+","4","0","4","0.04%"
"Total","9,779","1,337","11,116","100.00%"
