"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","1,105","66.01%","133","50.96%","1,238","63.98%"
"White","552","32.97%","124","47.51%","676","34.94%"
"Hispanic","11","0.66%","3","1.15%","14","0.72%"
"Native American","3","0.18%","0","0.00%","23","0.16%"
"Asian","1","0.06%","1","0.38%","2","0.10%"
"Data Unavailable","2","0.12%","0","0.00%","2","0.10%"
"TOTAL","1,674","99.88%","261","100.00%","1,935","99.90%"
