"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","4,628","61.48%","429","34.29%","5,057","57.60%"
"White","2,839","37.71%","805","64.35%","3,644","41.51%"
"Hispanic","34",".45%","13","1.04%","47",".54%"
"Native American","10",".13%","2",".16%","12",".14%"
"Asian","15",".20%","1",".08%","16",".18%"
"Data Unavailable","2",".03%","1",".08%","3",".03%"
"TOTAL","7,528","100.00%","1,251","100.00%","8,779","100.00%"
