"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","1,815","62.35%","251","39.65%","2,066","58.30%"
"White","1,077","37.00%","377","59.56%","1,454","41.03%"
"Hispanic","10","0.34%","2","0.32%","12","0.34%"
"Native American","5","0.17%","3","0.47%","8","0.23%"
"Asian","1","0.03%","0","0.00%","1","0.03%"
"Data Unavailable","3","0.10%","0","0.00%","3","0.08%"
"TOTAL","2,911","100.00%","633","100.00%","3,544","100.00%"
