"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","1,113","63.89%","134","46.21%","1,247","61.37%"
"White","609","34.96%","150","51.72%","759","37.35%"
"Hispanic","14","0.80%","4","1.38%","18","0.89%"
"Native American","3","0.17%","0","0.00%","33","0.15%"
"Asian","1","0.06%","2","0.69%","3","0.15%"
"Data Unavailable","2","0.11%","0","0.00%","2","0.10%"
"TOTAL","1,742","100.00%","290","100.00%","2,032","100.00%"
