RACE,MALE,% OF TOTAL MALE POPULATION,FEMALE,% OF TOTAL FEMALE POPULATION,NO. OF OFFENDERS,% OF TOTAL OFFENDERS
Black,"4,648",59.14%,360,28.50%,"5,008",54.90
White,"3,136",817.00%,893,70.70%,"4,029",44.17
Hispanic,37,0.47%,3,0.24%,40,0.44
Native American,11,0.14%,2,0.16%,13,0.14
Asian,26,0.33%,4,0.32%,30,0.33
Data Unavailable,1,0.01%,1,0.08%,2,0.02
TOTAL,"7,859",100.00%,"1,263",100.00%,"9,122",100.00
