"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","1,173","71.66%","120","54.30%","1,293","69.59%"
"White","452","27.61%","100","45.25%","552","29.71%"
"Hispanic","7","0.43%","1","0.45%","8","0.43%"
"Native American","2","0.12%","0","0.00%","2","0.11%"
"Asian","3","0.18%","0","0.00%","32","0.16%"
"TOTAL","1,637","100.00%","221","100.00%","1,858","100.00%"
