"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","4,611","61.91%","387","32.17%","4,998","57.77%"
"White","2,779","37.31%","802","66.67%","3,581","41.39%"
"Hispanic","32",".43%","10",".83%","42",".49%"
"Native American","11",".15%","2",".17%","13",".15%"
"Asian","13",".17%","1",".08%","14",".16%"
"Data Unavailable","2",".03%","1",".08%","3",".03%"
"TOTAL","7,448","100.00%","1,203","100.00%","8,651","100.00%"
