"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","3,689","65.43%","523","44.36%","4,212","61.79%"
"White","1,913","33.93%","647","54.88%","2,560","37.55%"
"Hispanic","25",".44%","5",".42%","30",".44%"
"Native American","1",".02%","3",".25%","4",".06%"
"Asian","8",".14%","1",".08%","9",".13%"
"Data Unavailable","2",".04%","0",".00%","2",".03%"
"TOTAL","5,638","100.00%","1,179","100.00%","6,817","100.00%"
