"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","1,713","61.22%","236","39.27%","1,949","57.34%"
"White","1,067","38.13%","362","60.23%","1,429","42.04%"
"Hispanic","11","0.39%","1","0.17%","12","0.35%"
"Native American","6","0.21%","2","0.33%","8","0.24%"
"Asian","1","0.04%","0","0.00%","1","0.03%"
"Data Unavailable","0","0.00%","0","0.00%","0","0.00%"
"TOTAL","2,798","100.00%","601","100.00%","3,399","100.00%"
