"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","3,688","65.01%","501","43.23%","4,189","61.31%"
"White","1,953","34.43%","648","55.91%","2,601","38.07%",".35%"
"Hispanic","18",".32%","6",".52%","24"
"Native American","3",".05%","3",".26%","6",".09%"
"Asian","9",".16%","1",".09%","10",".15%"
"Data Unavailable","2",".04%","0",".00%","2",".03%"
"TOTAL","5,673","100.00%","1,159","100.00%","6,832","100.00%"
