"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","1,271","62.12%","149","40.71%","1,420","58.87%"
"White","762","37.24%","210","57.38%","972","40.30%"
"Hispanic","6","0.29%","5","1.37%","11","0.46%"
"Native American","3","0.15%","0","0.00%","3","0.12%"
"Asian","2","0.10%","2","0.55%","4","0.17%"
"Data Unavailable","2","0.10%","0","0.00%","2","0.08%"
"TOTAL","2,046","100.00%","366","100.00%","2,412","100.00%"
