"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","3,346","62.29%","450","37.88%","3,796","57.87%"
"White","1,985","36.95%","727","61.20%","2,712","41.34%"
"Hispanic","21",".39%","9",".76%","30",".46%"
"Native American","4",".07%","2",".17%","6",".09%"
"Asian","12",".22%","0",".00%","12",".18%"
"Data Unavailable","4",".07%","0",".00%","4",".06%"
"TOTAL","5,372","100.00%","1,188","100.00%","6,560","100.00%"
