"RACE","MALE","% OF TOTAL MALE POPULATION","FEMALE","% OF TOTAL FEMALE POPULATION","NO. OF OFFENDERS","% OF TOTAL OFFENDERS"
"Black","4,416","62.37%","395","34.86%","4,811","58.58%"
"White","2,607","36.82%","723","63.81%","3,330","40.55%"
"Hispanic","26",".37%","11",".97%","37",".45%"
"Native American","13",".18%","1",".09%","14",".17%"
"Asian","14",".20%","2",".18%","16",".19%"
"Data Unavailable","4",".06%","1",".09%","5",".06%"
"TOTAL","7,080","100.00%","1,133","100.00%","8,213","100.00%"
