"Offense","Average Age at Time of Offense"
"Capital Rape","31"
"Child Molestation","38"
"Child Pornography","25"
"Entice Child For Indecent Purposes","28"
"Exploitation/Child","42"
"Fondling","36"
"Fondling A Child","28"
"Gratification/Lust","33"
"Kidnap Minor","31"
"Rape","27"
"Sex Assault","36"
"Sexual Battery","31"
"Statutory Rape","25"
"Unlawful Touching/Child","35"
"Video Voyeurism","32"
