"Race","Male","Female","Total","Percent"
"White","402","66","468","43.53%"
"Black","566","32","598","55.63%"
"Hispanic","5","0","5","0.47%"
"Other","4","0","4","0.37%"
"Total","977","98","1,075","100.00%"
