"Race","Male","Female","Total","Percent"
"White","3,126","644","3,770","40.40%"
"Black","5,111","354","5,465","58.56%"
"Hispanic","65","4","69","0.74%"
"Other","24","2","26","0.28%"
"Unknown","2","0","2","0.02%"
"Total","8,328","1,004","9,332","100.00%"
