"Offense","Black","White","Hispanic","Other","Total"
"Drug Intent","363","347","12","2","724"
"Possession of Drugs","822","490","12","5","1329"
"Sale of Drugs","506","149","3","2","660"
"Total","1691","986","27","9","2713"
