"Offense","Average Length of Sentence in Years"
"Aggravated Assault","10"
"Burglary","8"
"Drug Intent","11"
"Homicide/Manslaughter","28"
"Other Property","4"
"Possession Of Drugs","6"
"Robbery","15"
"Sale Of Drugs","9"
"Sex Offense","14"
"Violent","9"
