"Offense","Male","Female","Total","Percent"
"Aggravated Assault","51","3","54","5.02%"
"Burglary","131","4","135","12.56%"
"Drug Intent","73","5","78","7.26%"
"Homicide/Manslaughter","28","5","33","3.07%"
"Other Property","345","41","386","35.91%"
"Possession Of Drugs","142","21","163","15.16%"
"Robbery","27","1","28","2.60%"
"Sale Of Drugs","77","15","92","8.56%"
"Sex Offense","76","0","76","7.07%"
"Violent","27","3","30","2.79%"
"Total","977","98","1,075","100.00%"
