"Race","Male","Female","Total","Percent"
"White","2","0","2","25.00%"
"Black","6","0","6","75.00%"
"Hispanic","0","0","0","0.00%"
"Other","0","0","0","0.00%"
"Total","8","0","8","100.00%"
