"Offense","Black","White","Hispanic","Other","Total"
"Aggravated Assault","30","20","0","1","51"
"Burglary","85","43","1","2","131"
"Drug Intent","40","32","1","0","73"
"Homicide/Manslaughter","21","7","0","0","28"
"Other Property","190","153","2","0","345"
"Possession Of Drugs","87","55","0","0","142"
"Robbery","24","3","0","0","27"
"Sale Of Drugs","54","23","0","0","77"
"Sex Offense","24","50","1","1","76"
"Violent","11","16","0","0","27"
"Total","566","402","5","4","977"
