"Sentence Length","Black","White","Hispanic","Other","Total"
"Less than 1 year","40","113","1","1","155"
"1 - 2 years","100","200","0","0","300"
"3-5 years","139","217","3","0","359"
"6-10 years","54","99","0","1","154"
"11 - 20 years","21","11","0","0","32"
"21-30 years","0","0","0","0","0"
"Greater than 30 years","0","0","0","0","0"
"Life","0","1","0","0","1"
"Death","0","1","0","0","1"
"Total","354","642","4","2","1002"
