"Sentence Length","Black","White","Hispanic","Other","Total"
"Less than 1 year","518","474","4","9","1005"
"1 - 2 years","1023","599","11","3","1636"
"3-5 years","1975","1172","22","9","3178"
"6-10 years","1152","690","25","3","1870"
"11 - 20 years","392","161","3","0","556"
"21-30 years","33","15","0","0","48"
"Greater than 30 years","10","0","0","0","10"
"Life","15","11","0","0","26"
"Death","0","1","0","0","1"
"Total","5118","3123","65","24","8330"
