"Race","Male","Female","Total","Percent"
"White","148","5","153","52.58%"
"Black","128","2","130","44.67%"
"Hispanic","7","0","7","2.41%"
"Other","1","0","1","0.34%"
"Total","284","7","291","100.00%"
