"Offense","Average Sentence Length in Years"
"Capital Rape","13"
"Child Molestation","13"
"Child Pornography","7"
"Entice Child For Indecent Purposes","4"
"Exploitation/Child","6"
"Fondling","6"
"Fondling A Child","4"
"Gratification/Lust","5"
"Kidnap Minor","20"
"Rape","22"
"Sex Assault","17"
"Sexual Battery","7"
"Statutory Rape","6"
"Unlawful Touching/Child","5"
"Video Voyeurism","1"
