"Race","Male","Female","Total","Percent"
"White","986","267","1253","40.73%"
"Black","1691","94","1785","58.03%"
"Hispanic","27","1","28","0.91%"
"Other","9","1","10","0.33%"
"Total","2713","363","3076","100.00%"
