"COUNTY","OFFENDERS","%"
"Clarke","0",".00"
"Lawrence","0",".00"
"Clay","0",".00"
"Leake","1","3.23"
"Covington","1","3.23"
"Lowndes","0",".00"
"Forrest","6","19.35"
"Marion","0",".00"
"George","0",".00"
"Neshoba","0",".00"
"Greene","0",".00"
"Newton","0",".00"
"Hancock","2","6.45"
"Noxubee","1","3.23"
"Harrison","6","19.35"
"Oktibbeha","2","6.45"
"Jackson","2","6.45"
"Pearl River","0",".00"
"Jasper","0",".00"
"Perry","1","3.23"
"Jeff Davis","0",".00"
"Scott","2","6.45"
"Jones","1","3.23"
"Simpson","1","3.23"
"Kemper","1","3.23"
"Smith","0",".00"
"Lamar","1","3.23"
"Stone","1","3.23"
"Lauderdale","1","3.23"
"Wayne","1","3.23"
"TOTAL","31","32.29"
