"","COUNTY","OFFENDERS","%","COUNTY","OFFENDERS","%"
"","Adams","0",".00","Lincoln","2","8.70"
"","Amite","0",".00","Madison","3","13.04"
"","Claiborne","0",".00","Pike","2","8.70"
"","Copiah","0",".00","Rankin","5","21.74"
"Central","","","","","",""
"","Franklin","0",".00","Sharkey","1","4.35"
"Counties","","","","","",""
"","Hinds","6","26.09","Walthall","1","4.35"
"","Holmes","1","4.35","Warren","1","4.35"
"","Humphreys","0",".00","Wilkinson","0",".00"
"","Issaquena","0",".00","Yazoo","0",".00"
"","Jefferson","1","4.35","TOTAL","23","23.96"
