"","COUNTY","OFFENDERS","%","COUNTY","OFFENDERS","%"
"","Adams","2","1.65","Lincoln","8","6.61"
"","Amite","5","4.13","Madison","6","4.96"
"","Claiborne","0",".00","Pike","3","2.48"
"","Copiah","5","4.13","Rankin","29","23.97"
"Central","","","","","",""
"","Franklin","1",".83","Sharkey","0",".00"
"Counties","","","","","",""
"","Hinds","34","28.10","Walthall","2","1.65"
"","Holmes","3","2.48","Warren","18","14.88"
"","Humphreys","2","1.65","Wilkinson","0",".00"
"","Issaquena","0",".00","Yazoo","3","2.48"
"","Jefferson","0",".00","TOTAL","121","28.47"
