"OFFENSES","MALE","FEMALE","TOTAL","%"
"Burglary","59","6","65","8.95"
"Homicide/Manslaughter","30","1","31","4.27"
"Property","234","31","265","36.50"
"Possession of Drugs","134","19","153","21.07"
"Robbery","10","2","12","1.65"
"Sale of Drugs","75","19","94","12.95"
"Sex Offense","64","0","64","8.82"
"Violent","36","6","42","5.79"
"TOTAL","642","84","726","100.00"
