"OFFENSES","MALE","FEMALE","TOTAL","%"
"Burglary","1,644","93","1,737","17.75"
"Homicide/Manslaughter","184","18","202","2.06"
"Property","2,133","426","2,559","26.15"
"Possession of Drugs","2,167","315","2,482","25.37"
"Robbery","460","20","480","4.91"
"Sale of Drugs","1,150","132","1,282","13.10"
"Sex Offense","414","11","425","4.34"
"Violent","547","71","618","6.32"
"Verification Pending","0","0","0",".00"
"TOTAL","8,699","1,086","9,785","100.00"
