"","TOTAL 
 
726","100.00"
"","Northern County with highest number convictions","Desoto 
31"
"","Central County with highest number convictions","Rankin 
41"
"","Southern County with highest number convictions","Harrison 
78"
"RECAP","Northern Counties with lowest number convictions","Quitman 
0"
"","","Franklin, Humphreys,"
"","Central Counties with lowest number convictions","Issaquena, Sharkey, 
0"
"","","Wilkinson"
"","","Jefferson Davis,"
"","Southern Counties with lowest number convictions","Lawrence, Noxubee, 
1"
"","","Simpson"
