"","COUNTY","OFFENDERS","%","COUNTY","OFFENDERS","%"
"","Adams","4","2.60","Lincoln","6","3.90"
"","Amite","3","1.95","Madison","18","11.69"
"","Claiborne","3","1.95","Pike","15","9.74"
"","Copiah","8","5.19","Rankin","41","26.62"
"Central","","","","","",""
"","Franklin","0",".00","Sharkey","0",".00"
"Counties","","","","","",""
"","Hinds","37","24.03","Walthall","2","1.30"
"","Holmes","1",".65","Warren","11","7.14"
"","Humphreys","0",".00","Wilkinson","0",".00"
"","Issaquena","0",".00","Yazoo","3","1.95"
"","Jefferson","2","1.30","TOTAL","154","21.21"
