"OFFENSE 
                 AVERAGE SENTENCE LENGTH IN YEARS","",""
"Capital Rape","7.50",""
"Child Molestation","30.25",""
"Child Pornography","7.00",""
"Entice Child for Indecent Purposes","3.50",""
"Exploitation of Child","7.83",""
"Failure to Register as Sex Offender","2.28",""
"Fondling","8.43",""
"Fondling a Child","10.37",""
"Forcible Sexual Intercourse","25.00",""
"Gratification of Lust","4.81",""
"Incest","7.00",""
"Kidnap Minor","8.33",""
"Peeping Tom","2.75",""
"Rape","22.62",""
"Sex Between Teacher and Pupil","8.00",""
"Sexual Abuse - Vulnerable Adult","2.00",""
"Sexual Battery","11.45",""
"Statutory Rape","7.85",""
"Unlawful Touching of Child","5.54",""
"Video Voyeurism - Photographing or Filming","7.00",""
