"OFFENSE 
                       AVERAGE AGE AT TIME OF OFFENSE","",""
"Capital Rape","31.68",""
"Child Molestation","48.13",""
"Child Pornography","51.06",""
"Entice Child for Indecent Purposes","35.99",""
"Exploitation of Child","41.68",""
"Failure to Register as Sex Offender","41.45",""
"Fondling","39.81",""
"Fondling a Child","52.22",""
"Forcible Sexual Intercourse","26.28",""
"Gratification of Lust","31.64",""
"Incest","40.96",""
"Kidnap Minor","27.31",""
"Peeping Tom","39.56",""
"Rape","32.79",""
"Sex Between Teacher and Pupil","44.09",""
"Sexual Abuse - Vulnerable Adult","22.49",""
"Sexual Battery","33.87",""
"Statutory Rape","27.25",""
"Unlawful Touching of Child","41.52",""
"Video Voyeurism - Photographing or Filming","38.33",""
