"","","","Offenders Age 50 and Over","","",""
"","","","County of Conviction","","",""
"","COUNTY","OFFENDERS","%","COUNTY","OFFENDERS","%"
"","Clarke","5","1.54","Lawrence","1",".31"
"","Clay","6","1.85","Leake","3",".92"
"","Covington","4","1.23","Lowndes","14","4.31"
"","Forrest","18","5.54","Marion","3",".92"
"","George","2",".62","Neshoba","12","3.69"
"","Greene","5","1.54","Newton","9","2.77"
"","Hancock","16","4.92","Noxubee","1",".31"
"Southern","","","","","",""
"","Harrison","78","24.00","Oktibbeha","16","4.92"
"Counties","","","","","",""
"","Jackson","36","11.08","Pearl River","14","4.31"
"","Jasper","3",".92","Perry","2",".62"
"","Jeff Davis","1",".31","Scott","9","2.77"
"","Jones","16","4.92","Simpson","1",".31"
"","Kemper","2",".62","Smith","3",".92"
"","Lamar","12","3.69","Stone","4","1.23"
"","Lauderdale","19","5.85","Wayne","10","3.08"
"","","","","TOTAL","325","44.77"
