"","Northern County with highest number convictions","Desoto","18"
"","Central County with highest number convictions","Hinds","34"
"","Southern County with highest number convictions","Harrison","30"
"RECAP","","",""
"","Northern Counties with lowest number convictions","Carroll, Tate, Webster","0"
"","","Claiborne, Issaquena,",""
"","Central Counties with lowest number convictions","Jefferson, Sharkey,","0"
"","","Wilkinson",""
"","","Jasper, Jefferson Davis,",""
"","Southern Counties with lowest number convictions","","0"
"","","Perry, Smith",""
