"AGE","MALE","FEMALE","","TOTAL","PERCENT"
"15","0","0","","0",".00"
"16","0","0","","0",".00"
"17","3","0","","3",".08"
"18 - 19","60","7","","67","1.78"
"20 - 29","1,398","146","","1,544","41.02"
"30 - 39","1,115","147","","1,262","33.53"
"40 - 49","532","109","","641","17.03"
"50 - 59","185","34","","219","5.82"
"60 - 69","23","4","","27",".72"
"70 - 79","1","0","","1",".03"
"80+","0","0","","0",".00"
"Verification Pending","0","0","","0",".00"
