"MALE","","","","",""
"TOTAL 
OFFENSES 
BLACK 
WHITE  HISPANIC 
OTHER","","","","",""
"Burglary","1,045","582","14","3","1,644"
"Homicide/Manslaughter","132","51","1","0","184"
"Property","1,169","934","15","15","2,133"
"Possession of Drugs","1,159","967","35","6","2,167"
"Robbery","388","70","1","1","460"
"Sale of Drugs","889","252","3","6","1,150"
"Sex Offense","192","212","8","2","414"
"Violent","367","174","5","1","547"
"Verification Pending","0","0","0","0","0"
"TOTAL","5,341","3,242","82","34","8,699"
