"OFFENSE","MALE","FEMALE","","TOTAL","%"
"Forcible Sexual Intercourse","2","0","","2",".47"
"Gratification of Lust","15","1","","16","3.76"
"Incest","1","0","","1",".24"
"Kidnap Minor","0","3","","3",".71"
"Peeping Tom","8","0","","8","1.88"
"Rape","13","0","","13","3.06"
"Sex Between Teacher and Pupil","1","0","","1",".24"
"Sexual Abuse - Vulnerable Adult","1","0","","1",".24"
"Sexual Battery","114","5","","119","28.00"
"Statutory Rape","84","2","","86","20.24"
"Unlawful Touching of Child","37","0","","37","8.71"
"Video Voyeurism - Photographing or Film","1","0","","1",".24"
