"MALE","","","","",""
"OFFENSES","BLACK","WHITE","HISPANIC","OTHER","TOTAL"
"Possession of Drugs","1,159","967","35","6","2,167"
"Sale of Drugs","889","252","3","6","1,150"
"TOTAL","2,048","1,219","38","12","3,317"
