"RACE","MALE","FEMALE","","TOTAL","%"
"White","1,219","332","","1,551","41.21"
"Black","2,048","113","","2,161","57.41"
"Hispanic","38","2","","40","1.06"
"Other","11","0","","11",".29"
"Unknown Race","1","0","","1",".03"
