"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","13706","59.58%","3286","47.98%","16992","56.92%"
"White","8929","38.81%","3475","50.74%","12404","41.55%"
"Hispanic","162",".70%","29",".42%","191",".64%"
"Native American","24",".10%","6",".09%","30",".10%"
"Asian","78",".34%","18",".26%","96",".32%"
"Data Unavailable","105",".46%","35",".51%","140",".47%"
"TOTAL","23004","100.00%","6849","100.00%","29853","100.00%"
