"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","7326","60.20%","1945","55.26%","9271","59.09%"
"White","4715","38.75%","1530","43.47%","6245","39.80%"
"Hispanic","51","0.42%","15","0.43%","66","0.42%"
"Native American","25","0.21%","7","0.20%","32","0.20%"
"Asian","36","0.30%","23","0.65%","59","0.38%"
"Data Unavailable","16","0.13%","0","0.00%","16","0.10%"
"TOTAL","12169","100.00%","3520","100.00%","15689","100.00%"
