"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","11679","60.69%","2374","42.46%","14053","56.59%"
"White","7323","38.06%","3135","56.07%","10458","42.11%"
"Hispanic","143","0.74%","31",".55%","174",".70%"
"Native American","16",".08%","15",".27%","31",".12%"
"Asian","55",".29%","12",".21%","67",".27%"
"Data Unavailable","27",".14%","24",".43%","51",".21%"
"TOTAL","19243","100.00%","5591","100.00%","24834","100.00%"
