"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","13039","60.63%","2773","44.42%","15812","56.98%"
"White","8180","38.03%","3382","54.17%","11562","41.66%"
"Hispanic","159","0.74%","36",".58%","195",".70%"
"Native American","20",".09%","13",".21%","33",".12%"
"Asian","60",".28%","14",".22%","74",".27%"
"unknown","49",".23%","25",".40%","74",".27%"
"TOTAL","21507","100.00%","6243","100.00%","27750","100.00%"
