"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","10285","58.30%","2189","40.70%","12474","54.19%"
"White","7100","40.24%","3108","57.78%","10208","44.34%"
"Hispanic","138","0.78%","35",".65%","173",".75%"
"Native American","17",".10%","15",".28%","32",".14%"
"Asian","57",".32%","14",".26%","71",".31%"
"Data Unavailable","45",".26%","18",".33%","63",".27%"
"TOTAL","17642","100.00%","5379","100.00%","23021","100.00%"
