"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","9598","58.76%","2597","50.90%","12195","56.89%"
"White","6430","39.37%","2400","47.04%","8830","41.19%"
"Hispanic","109","0.67%","17","0.33%","126","0.59%"
"Native American","17","0.10%","4","0.08%","21","0.10%"
"Asian","38","0.23%","17","0.33%","55","0.26%"
"Data Unavailable","142","0.87%","67","1.31%","209","0.97%"
"TOTAL","16334","100.00%","5102","100.00%","21436","100.00%"
