"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","7,826","59.81%","2,155","54.16%","9,981","58.33%"
"White","5,131","39.21%","1,777","44.66%","6,908","40.37%"
"Hispanic","65","0.50%","16","0.40%","81","0.47%"
"Native American","29","0.22%","6","0.15%","35","0.20%"
"Asian","34","0.26%","25","0.63%","59","0.34%"
"Data Unavailable","0","0.00%","0","0.00%","47","0.27%"
"TOTAL","13,085","100.00%","3,979","100.00%","17,111","100.00%"
