"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","12505","59.69%","3072","48.58%","15577","57.12%"
"White","8103","38.68%","3157","49.93%","11260","41.29%"
"Hispanic","139",".66%","23",".36%","162",".59%"
"Native American","15",".07%","8",".13%","23",".08%"
"Asian","65",".31%","16",".25%","81",".30%"
"unknown","123",".59%","47",".74%","170",".62%"
"TOTAL","20950","100.00%","6323","100.00%","27273","100.00%"
