"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","16421","60.80%","3670","46.69%","20091","57.62%"
"White","10192","37.74%","4070","51.77%","14262","40.90%"
"Hispanic","207","0.77%","54",".69%","261",".75%"
"Native American","26",".10%","11",".14%","37",".11%"
"Asian","79",".29%","21",".27%","100",".29%"
"unknown","84",".31%","35",".45%","119",".34%"
"TOTAL","27009","100.00%","7861","100.00%","34870","100.00%"
