"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","13730","59.45%","3263","47.70%","16993","56.76%"
"White","8996","38.95%","3485","50.94%","12481","41.69%"
"Hispanic","162",".70%","29",".42%","191",".64%"
"Native American","23",".10%","6",".09%","29",".10%"
"Asian","81",".35%","17",".25%","98",".33%"
"unknown","103",".45%","41",".60%","144",".48%"
"TOTAL","23095","100.00%","6841","100.00%","29936","100.00%"
