"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","11375","60.05%","2714","48.42%","14089","57.40%"
"White","7257","38.31%","2814","50.21%","10071","41.03%"
"Hispanic","129","0.68%","18","0.32%","147","0.60%"
"Native American","21","0.11%","6","0.11%","27","0.11%"
"Asian","54","0.29%","10","0.18%","64","0.26%"
"Data Unavailable","106","0.56%","43","0.77%","149","0.61%"
"TOTAL","18942","100.00%","5605","100.00%","24547","100.00%"
