"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","12985","59.70%","3190","48.44%","16175","57.08%"
"White","8434","38.78%","3297","50.06%","11731","41.40%"
"Hispanic","142",".65%","24",".36%","166",".59%"
"Native American","23",".11%","11",".17%","34",".12%"
"Asian","67",".31%","20",".30%","87",".31%"
"unknown","100",".46%","44",".67%","144",".51%"
"TOTAL","21751","100.00%","6586","100.00%","28337","100.00%"
