"race","male","percent_of_male_pop","female","percent_of_female_pop","count","percent_of_total"
"Black","7443","60.63%","1971","55.69%","9414","59.47%"
"White","4723","38.47%","1533","43.32%","6256","39.52%"
"Hispanic","46","0.37%","15","0.42%","61","0.39%"
"Native American","29","0.24%","6","0.17%","35","0.22%"
"Asian","36","0.29%","14","0.40%","50","0.32%"
"Data Unavailable",".","0.00%",".","0.00%","15","0.09%"
"TOTAL","12277","100.00%","3539","100.00%","15831","100.00%"
